217	175	183	186	179	170	175	175	175	175	175	175
205	211	213	207	214	201	181	213	179	213	213	213
213	218	226	233	216	204	193	230	189	230	230	230
228	234	232	230	231	234	228	241	222	241	241	241
234	225	232	229	232	236	220	236	234	239	239	239
220	222	228	227	226	219	225	231	207	236	236	236
228	232	220	223	220	243	220	247	204	221	225	225
193	193	193	206	211	203	240	209	183	204	204	204
177	180	180	176	168	166	176	191	162	160	160	176
159	162	162	164	162	161	164	163	154	148	161	166
154	154	154	154	154	154	157	157	131	135	135	135
149	149	149	149	149	149	143	141	139	132	132	132
