0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
100	100	100	102	104	104	111	111	111	112	116	121	121	124	125	124	118	124
100	100	100	102	102	102	102	97	108	111	113	118	119	120	124	123	117	124
100	100	84	91	102	102	103	96	110	110	110	117	118	119	122	122	116	125
100	100	82	84	99	102	101	98	97	108	99	112	118	116	119	124	119	120
110	145	95	92	91	95	97	95	96	96	94	112	112	114	109	119	118	117
150	100	101	87	94	98	95	90	100	100	94	104	112	114	106	116	113	113
124	112	105	98	98	102	92	93	94	91	100	105	103	113	117	116	123	117
131	89	96	95	94	94	95	91	83	93	96	102	103	104	113	115	134	116
124	88	95	101	90	96	96	93	94	96	95	92	108	116	110	127	113	119
135	93	92	99	97	94	102	97	89	89	92	96	96	118	110	123	130	115
135	89	95	97	102	97	97	97	95	95	94	112	92	101	110	117	113	116
130	95	92	100	99	99	96	100	101	96	95	101	102	107	112	119	115	116
125	103	96	100	97	101	97	96	95	95	98	104	93	109	109	112	105	105
115	108	98	96	103	97	100	97	97	95	99	99	95	103	103	103	103	103
100	100	97	105	91	97	98	99	99	92	93	103	103	103	103	103	103	103
108	100	98	97	101	102	94	100	100	100	100	103	103	103	103	103	103	103
