0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
125	135	99	100	102	102	111	111	111	112	116	121	122	123	125	124	118	124
125	135	97	98	98	98	102	105	108	111	113	109	110	115	118	123	117	124
125	135	94	98	99	99	99	97	104	110	110	113	116	119	120	122	118	125
125	135	98	98	97	99	98	98	97	108	108	108	118	116	119	118	118	121
125	135	97	102	99	102	97	92	97	91	99	103	109	114	116	118	123	123
125	125	102	99	98	99	99	101	97	102	95	96	109	114	117	113	124	119
125	125	97	99	95	99	90	98	95	90	100	99	106	113	117	130	128	126
125	125	108	98	101	98	97	92	96	99	99	85	92	96	114	135	127	124
125	125	88	105	93	101	97	95	96	96	88	91	111	114	124	137	124	120
125	125	83	100	96	96	99	98	96	91	93	91	89	127	115	131	123	115
125	125	95	97	104	98	98	98	97	98	94	109	103	108	110	116	116	117
125	125	96	98	98	97	94	96	98	94	97	106	94	116	109	114	117	115
125	125	95	98	97	99	98	95	94	96	101	104	92	120	109	114	125	105
125	113	100	96	101	96	99	98	97	96	101	98	95	103	103	103	103	103
125	100	95	102	98	94	100	99	95	91	91	103	103	103	103	103	103	103
125	100	103	100	105	98	104	105	100	100	100	103	103	103	103	103	103	103
